position_id,source,name,keyword,tier,optional,decision,reason,df,opt_recall
brands:01065,brands,Sommer,sommer,drop,,drop,DF>cap_pospolite,603,0
brands:01066,brands,St Raphael,st-raphael,drop,,drop,opt_recall<2,3,0
brands:01070,brands,Suze,suze,drop,,drop,opt_recall<2,9,0
brands:01073,brands,The London,the-london,drop,,drop,opt_recall<2,16,0
brands:01074,brands,Torres,torres,drop,,drop,DF>cap_pospolite,559,1
brands:01075,brands,Turin,turin,drop,,drop,opt_recall<2,68,0
brands:01076,brands,Vault,vault,drop,,drop,DF>cap_pospolite,945,0
brands:01077,brands,Vecchio,vecchio,drop,,drop,opt_recall<2,134,0
brands:01081,brands,Zucca,zucca,drop,,drop,opt_recall<2,70,0
brands:01086,brands,Bitter Truth,bitter-truth,drop,,drop,opt_recall<2,3,0
brands:01088,brands,Bob's,bobs,drop,,drop,DF>cap_pospolite,254,0
brands:01090,brands,Dillon's,dillons,drop,,drop,opt_recall<2,4,0
brands:01091,brands,Droplets,droplets,drop,,drop,opt_recall<2,21,0
brands:01093,brands,Ferdinand's,ferdinands,drop,,drop,opt_recall<2,1,0
brands:01096,brands,Miracle Mile,miracle-mile,drop,,drop,opt_recall<2,3,0
brands:01102,brands,Seiers,seiers,drop,,drop,opt_recall<2,1,0
brands:01103,brands,The Japanese,the-japanese,drop,,drop,opt_recall<2,30,0
brands:01106,brands,Absente,absente,drop,,drop,opt_recall<2,15,0
brands:01108,brands,Adriatico,adriatico,drop,,drop,opt_recall<2,9,0
brands:01111,brands,Algebra,algebra,drop,,drop,DF>cap_pospolite,449,0
brands:01113,brands,Aluna,aluna,drop,,drop,opt_recall<2,10,0
brands:01114,brands,Amargo,amargo,drop,,drop,opt_recall<2,4,0
brands:01116,brands,Archers,archers,drop,,drop,opt_recall<2,11,0
brands:01118,brands,Arran,arran,drop,,drop,opt_recall<2,14,0
brands:01119,brands,Asbach,asbach,drop,,drop,opt_recall<2,3,0
brands:01121,brands,Axia,axia,drop,,drop,opt_recall<2,14,0
brands:01122,brands,Baileys,baileys,drop,,drop,opt_recall<2,38,0
brands:01123,brands,Balcones,balcones,drop,,drop,opt_recall<2,16,0
brands:01126,brands,Bernal,bernal,drop,,drop,opt_recall<2,23,0
brands:01127,brands,Bernard,bernard,drop,,drop,DF>cap_pospolite,253,0
brands:01129,brands,Bitter,bitter,smiec,,drop,styl/generyk,158,0
brands:01130,brands,Blend,blend,drop,,drop,DF>cap_pospolite,220,0
