wikidata,name,aliases,types,makers,countries
Q6724445,Mackeson Stout,,juridical person | organization | business,,
Q6724619,Maclays Brewery,,food manufacturer | factory | brewery,,
Q6736986,Maisel Brau Bamberg,,food manufacturer | factory | brewery,,
Q6787495,Matilda Bay Brewing Company,,juridical person | organization | business,,
Q6801103,McEwan's,,juridical person | organization | business,,
Q6811722,Melbourne Bitter,,alcohol brand | food and beverage | liquid | drink | beer brand,Carlton & United Breweries,
Q6820487,Merrydown,,alcohol brand | cider brand | juridical person | organization | business,,
Q6825019,Metropolitan Brewing,,juridical person | organization | business,,
Q6838522,Mickey's,,alcoholic beverage | malt liquor,Miller Brewing Company,
Q6858427,Mill Street Brewery,,food manufacturer | factory | brewery,,
Q6859181,Miller Lite,,alcohol brand | beer brand,Miller Brewing Company,United States
Q6861637,Milwaukee's Best,,alcohol brand | beer brand,,
Q6924957,Mountain Goat Beer,,juridical person | organization | business,,
Q6959584,Nail Brewing,,juridical person | organization | business,,
Q6966165,Narragansett Brewing Company,,juridical person | organization | business,,
Q6980567,Natural Light,,alcohol brand | beer brand,,
Q7005236,New Albanian Brewing Company,,food manufacturer | factory | brewery,,
Q7045321,Noah's Mill,,food and beverage | liquid | drink,Kentucky Bourbon Distillers,United States
Q7083083,Oland Export Ale,,alcohol brand | beer brand,,
Q7083084,Oland Brewery,,food manufacturer | factory | brewery,,
Q7083642,Old Charter,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q7083802,Old Crow,,food and beverage | liquid | drink,Suntory Global Spirits,Kentucky
Q7083949,Old Ezra 101,,food and beverage | liquid | drink,Heaven Hill,United States
Q7083990,Old Fitzgerald,,American whiskey | bourbon whiskey,Heaven Hill,United States
Q7084008,Old Forester,,food and beverage | liquid | drink,Brown-Forman,United States
Q7084130,Old Grand-Dad,,food and beverage | liquid | drink,Suntory Global Spirits,United States
Q7084534,Old Milwaukee,,alcohol brand | beer brand,Pabst Brewing Company,
Q7084683,Old Overholt,,,,
Q7084877,Old Rosie,,food brand | drink brand,Weston's Cider,
Q7085145,Old Style Pilsner,,food and beverage | liquid | drink,Molson Coors Brewing Company,
Q7085210,Old Thompson,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q7085533,Olde English 800,,alcoholic beverage | malt liquor,,
Q7088417,Olmeca Tequila,,food and beverage | liquid | drink,Pernod Ricard,Mexico
Q7118142,PAMA,,,,
Q7133121,Pappy Van Winkle's Family Reserve,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q7142843,Passport Scotch,,,,
Q7150929,Paul Goerg,,food manufacturer | winery | champagne house,,
Q7160484,Peeterman Artois,,type of drink | type of manufactured good | version | beer | beer style,Anheuser-Busch InBev,
Q7190523,Picaroons Traditional Ales,,food manufacturer | factory | brewery,,
Q7196252,Pinky Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q7196323,Pinnacle vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,Suntory Global Spirits,France
Q7199017,Piton,,alcohol brand | beer brand,,
Q7199671,Pivovara Ličanka,,food manufacturer | factory | brewery,,Croatia
Q7205807,Plymouth Gin,,,,England
Q7211620,Blue Girl Beer,,alcohol brand | beer brand,,
Q7227204,Pomagne,,alcohol brand | cider brand,,
Q7229458,Popov,,mark | trademark,,
Q7234531,Postřižinské,,alcohol brand | beer brand | beer | beer in the Czech Republic,,
Q7240472,Premium Wine Brands,,legal person | organization | company,,
Q7261929,Pusser's,,,,
Q7263241,Pyramid Breweries,,juridical person | organization | business,,
Q7302072,Rebel Yell,,American whiskey | bourbon whiskey,Luxco | Heaven Hill,United States
Q7303746,Red Bicyclette,,,,
Q7304046,Red Dog,,alcohol brand | beer brand,Miller Brewing Company,
Q7304905,Red Rock Cider,,,,
Q7305221,Red White & Blue Beer,,alcohol brand | beer brand,,
Q7305495,Redbreast,,food and beverage | liquid | drink | whisky | Irish whiskey | mark | trademark,Irish Distillers,
Q7306555,Reeb,,mark | trademark,,
Q7314949,Resch's,,artificial object | brand,Resch's Ltd | Tooth and Co. | Carlton & United Breweries,
Q7321897,Rhythm,,,,United States
Q7336937,Riunite,,,,
Q7354467,Rock Hill Farms Single-Barrel,,drink brand | trademark | alcoholic beverage | alcohol brand,,Kentucky
Q7359507,Rogue Ales,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q7359815,Rohrbach Brewing Company,,juridical person | organization | business,,
Q7371772,Rowan's Creek,,food and beverage | liquid | drink,Kentucky Bourbon Distillers,Kentucky
Q7374788,Royal Salute whisky,,drink brand | trademark | alcoholic beverage | alcohol brand,,Scotland
Q7379386,Rumple Minze,,,,
Q7428481,Savvy Vodka,,,,
Q7430894,Schaefer Beer,,,,United States
Q7432746,Schooner Lager,,alcohol brand | beer brand,,
Q7433276,Schweppes Australia,,juridical person | organization | business | artificial object | brand,,
Q7439346,scrumpy,,,,
Q7439348,Scrumpy Jack,,alcohol brand | cider brand,,
Q7440441,Seagram's Seven Crown,,food and beverage | liquid | drink,Diageo,
Q7442947,Seco Herrerano,,,,Panama
Q7459660,Señor Río,,,,Mexico
Q7525866,Sipsmith,,distillery | microdistillery,,
Q7535558,Skinny Blonde,,food and beverage | liquid | drink,,
Q7539515,Slavutych Brewery,,juridical person | organization | business,,
Q7550050,Sobieski Vodka,,drink brand | trademark | alcoholic beverage | liquor | vodka | alcohol brand,,Poland
Q7565223,Sourz,,,Suntory Global Spirits,
Q7577545,Spingo,,,,
Q7588247,St. Germain,,,,
Q7588348,St. Ides,,alcoholic beverage | malt liquor,Pabst Brewing Company,
Q7592516,St Arnou,,juridical person | organization | business,,
Q7605701,Steel Reserve,,alcoholic beverage | malt liquor,,
Q7605768,Steelback Brewery,,food manufacturer | factory | brewery,,
Q7615488,Stevens Point Brewery,,food manufacturer | factory | brewery,,
Q7615732,Stewart Brewing,,food manufacturer | factory | brewery,,
Q7619305,Stones Bitter,,alcohol brand | beer brand,,
Q7621182,Strakonický Dudák,,beer | beer in the Czech Republic,,
Q7646301,Surinaamse Brouwerij,,juridical person | organization | business,,
Q7655158,SweetWater Brewing Company,,juridical person | organization | business,,
Q7691183,Teacher's Highland Cream,,drink brand | trademark | alcoholic beverage | food and beverage | liquid | drink | alcohol brand,Suntory Global Spirits,Scotland
Q7699209,Ten High,,food and beverage | liquid | drink,Sazerac Company,Kentucky
Q7754194,The Nikolai Organisation,,,,
Q7777238,Theakston Brewery,,food manufacturer | factory | brewery,,
Q7797675,Three Olives Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,Proximo Spirits,England
Q7824015,Tooheys Brewery,,juridical person | organization | business,,
Q7824018,Tooheys Old,,,,
Q7824016,Tooheys Extra Dry,,,,
Q7824017,Tooheys New,,food and beverage | liquid | drink,,
Q7824258,Tooth and Co.,,alcohol brand | beer brand,,
Q7828519,Tou,,food manufacturer | factory | brewery,,
Q7835592,Trapiche,,winery | viticulture plant | estate,,
Q7850578,Tuaca,,,,Italy
Q7856799,Tusker,,alcohol brand | beer brand,Diageo,
Q7858920,Two Dogs,,,,Australia
Q7880109,Ultimat Vodka,,drink brand | trademark | alcoholic beverage | alcohol brand,,Poland
Q7898532,Upper Canada Brewing Company,,juridical person | organization | business,,
Q7907710,V,,food brand | drink brand,,
Q7910733,Valentin Blatz Brewing Company,,food manufacturer | factory | brewery | mark | trademark,,
Q7911566,Valhalla Brewery,,juridical person | organization | business,,
Q7923070,Very Old Barton,,,,United States
Q7932813,Vintage Bourbon,,food and beverage | liquid | drink,Kentucky Bourbon Distillers,United States
Q7934276,Virginia Gentleman,,food and beverage | liquid | drink,Sazerac Company,United States
Q7938938,Vladivar Vodka,,,Whyte and Mackay,United Kingdom
Q7939317,Vodka Cruiser,,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q7942336,Vox Vodka,,,,
Q7945788,W. L. Weller,,food and beverage | liquid | drink,Sazerac Company,United States
Q7949059,West Brewery,,juridical person | organization | business,,
Q65082494,Excellia,,,,
Q65121069,To Øl,,food manufacturer | factory | brewery,,
Q66861871,Kalik,,beer brand | alcohol brand | artificial object | brand,,
Q65086603,Masons Gin,Masons Of Yorkshire,alcohol brand | drink brand | trademark | alcoholic beverage,,United Kingdom
Q65090509,Negrita,Rhum Negrita,alcohol brand | drink brand | trademark | alcoholic beverage,,
Q73255294,Põhjala,Põhjala Brewery | Põhjala Brewing,food manufacturer | factory | brewery,,
Q75378175,François de Suarez d'Aulan,François Harouard de Suarez d'Aulan,Homo sapiens | person | omnivore | natural person | human,,
Q664258,G. H. Mumm,Mumm | Champagne G. H. Mumm | Mumm & Co,corporate body | person or organization | group of humans | social system | complex system | organization,,France
Q679089,Justerini & Brooks,J&B,mark | trademark,,
Q683303,Hürlimann Brewery,Hürlimann,food manufacturer | factory | brewery,,
Q948831,Plzeňský Prazdroj,Měšťanský pivovar Plzeň | Pilsner Urquell Brewery | Plzeňský prazdroj | Plzensky Prazdroj as,business | enterprise | juridical person | organization | joint-stock company | public company,,
Q7989343,Weston's Cider,H.Weston & Sons Limited | Weston's Cider Mill | Westons Cider | Westons Cider Mill,fruit press | business | architectural structure | organization | cider mill | food manufacturer | factory | brewery,,
Q8059453,Ypióca Group,Ypioca Group,organization | commercial organization,,
Q8248915,Blue Moon,Blue Moon Belgian White | BlueMoon,wheat beer | witbier | alcohol brand | beer brand,Blue Moon Brewing Company,
Q872435,Stroh,Stroh Austria GmbH,juridical person | organization | business,,
Q891834,Bombay Sapphire,Bombay Gin | Bombay Sapphire gin | Bombay Spirits Company,mark | trademark,,England
Q899150,Campari,Campari Bitter,artificial object | brand | mark | trademark,Campari Group,Italy
Q900099,Aldersbach brewery,Brauerei Aldersbach,food manufacturer | factory | brewery,,
Q900204,Maisel's,Brauerei Gebrüder Maisel,food manufacturer | factory | brewery,,Germany
Q909817,Dreher Breweries,Dreher Brewery | Kőbánya Brewery,food manufacturer | factory | brewery,,
Q911367,BrewDog,Brew Dog,business | enterprise | juridical person | organization | pub chain | brewpub | brewery | brewpub chain | food manufacturer | factory,,
Q913803,Tyrconnell,The Tyrconnell,mark | trademark,,
Q924355,XXXX,Castlemaine XXXX | Fourex | X X Xxxx Xxxx,alcohol brand | beer brand | mark | trademark,,
Q929276,Stella Artois,Stella Artois,alcohol brand | beer brand,Anheuser-Busch InBev,Belgium
Q83850,Birra Stela,,alcohol brand | beer brand | food manufacturer | factory | brewery,,
Q797517,Koff,,alcohol brand | beer brand | low fermentation beer | lager,Sinebrychoff,Finland
Q798067,Karhu,,alcohol brand | beer brand | artificial object | brand,Sinebrychoff,
Q805687,Baltic Beverages Holding,,company | organization | corporate group,,
Q812942,Beamish and Crawford,,juridical person | organization | business,,
Q815258,Belaya Rus,,,Minsk Kristall,Belarus
Q816263,Belvedere,,drink | alcoholic beverage | drink brand | trademark | alcohol brand,Polmos,Poland
Q819284,Berg Brauerei,,mark | trademark | food manufacturer | factory | brewery,,
Q821688,Berliner Pilsner,,juridical person | organization | business | mark | trademark | food manufacturer | factory | brewery,Berliner-Kindl-Schultheiss brewery,
Q838651,Schweppes,,artificial object | brand,Szentkirályi Hungary | Swire Coca-Cola | Schweppes Australia | Suntory | Dr Pepper Snapple Group,
Q857829,Timișoara Brewery,,food manufacturer | factory | brewery | industrial facility | facility | industrial building | architectural structure | organization,,
Q861698,Heineken Oud Bruin,,low fermentation beer | beer in the Netherlands | Oud bruin,Heineken International,
Q865835,Birra Korça,,business | enterprise | juridical person | organization | mark | trademark,,
Q865838,Asmara Brewery,,juridical person | organization | business,,
Q865840,Birra Moretti,,mark | trademark | food manufacturer | factory | brewery,,
Q867652,White House Honey Ale,,high fermentation beer | ale,,
Q874166,Spatenbräu,,food manufacturer | factory | brewery,,
Q877556,Stiegl Brewery,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q878149,König Ludwig Schlossbrauerei,,food manufacturer | factory | brewery,,
Q879085,Vitamalz,,mark | trademark,,
Q879110,Dinkelacker,,mark | trademark | food manufacturer | factory | brewery,,
Q880090,Pinkus Müller,,mark | trademark | food manufacturer | factory | brewery,,
Q880612,Black Velvet,,mark | trademark,,
Q880640,Wernesgrüner,,mark | trademark | food manufacturer | factory | brewery,,
Q887730,Newcastle Brown Ale,,ale | brown ale,Heineken International,United Kingdom
Q891620,Bolten-Brauerei,,food manufacturer | factory | brewery,,
Q893047,Boon Rawd Brewery,,juridical person | organization | business,,
Q897293,Brahma,,alcohol brand | beer brand | mark | trademark,Anheuser-Busch InBev,
Q899484,Brasserie d'Achouffe,,food manufacturer | factory | brewery,,
Q900163,Brauerei Egg,,juridical person | organization | business | food manufacturer | factory | brewery,,
Q900200,Eck,,food manufacturer | factory | brewery,,
Q900213,Brauerei Gold Ochsen,,mark | trademark | food manufacturer | factory | brewery,,
Q900245,Hirter,,juridical person | organization | business,,
Q900257,Brauerei Kaiserdom,,food manufacturer | factory | brewery,,
Q900285,Kuchlbauer brewery,,mark | trademark | food manufacturer | factory | brewery,,
Q900289,Kopparbergs Brewery,,enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q900335,Brauerei Puntigam,,food manufacturer | factory | brewery,,
Q900427,Brauerei zur Malzmühle,,eating and lodging | accommodation facility | alcohol drinking establishment | guest house | building | restaurant | inn | mark | trademark | food manufacturer | factory | brewery,,
Q900506,Riegele,,mark | trademark | food manufacturer | factory | brewery,,
Q900510,Brauhaus am Kreuzberg,,food manufacturer | factory | brewery,,
Q928026,Cynar,,drink | alcoholic beverage,,
Q935317,Staropramen,,alcohol brand | beer brand,Pivovary Staropramen,
Q942393,Three Horses Beer,,lager | pale lager,Q20747232,
Q949447,Cervezas Alhambra,,juridical person | organization | business,,
Q964333,Camus Коньяк,,juridical person | organization | business,,
Q971751,Bintang Beer,,alcohol brand | beer brand,,
Q980908,Champagne Mercier,,mark | trademark,,France
Q982670,Glen Garioch distillery,,distillery | whisky distillery,,
Q982673,Tobermory distillery,,whisky distillery | distillery,,
Q7959997,Waikato Draught,,,,
Q7984781,West Coast Cooler,,,,
Q7990311,Weyerbacher Brewing Company,,juridical person | organization | business,,
Q7995003,White Lightning,,alcohol brand | cider brand,,
Q7995061,White Mischief,,food and beverage | liquid | drink,United Spirits Limited,India
Q7995078,White Mountain Cooler,,,,United States
Q7996571,Whitley Neill Gin,,drink brand | trademark | alcoholic beverage | alcohol brand,,
Q7998742,Widmer Brothers Brewery,,enterprise | joint-stock company | public company | food manufacturer | factory | brewery,,
Q8000648,Wild Goose,,alcohol brand | beer brand,Logan Shaw Brewing Company,
Q8020991,Williams Bros Brewing Co,,food manufacturer | factory | brewery,,
Q8027514,Wiser's whisky,,,,
Q8032506,Woodchuck Hard Cider,,,,
Q8032660,Woodford Reserve,,distillery | whisky distillery | American whiskey | bourbon whiskey | drink brand | trademark | alcoholic beverage | alcohol brand | mark,Brown-Forman,United States
Q8033128,Woodpecker Cider,,alcohol brand | cider brand,,
Q8037240,Worthington Brewery,,juridical person | organization | business,,
Q8040108,Wyndham Estate,,viticulture plant | estate | winery,,
Q8041510,X-Rated Fusion,,,,
Q8042633,XXXX Gold,,food and beverage | liquid | drink,,
Q8042636,XXXX Summer Bright Lager,,alcohol brand | beer brand,,
Q8044403,Xifeng jiu,,,,
Q8047083,Yakima Brewing,,food manufacturer | factory | brewery,,
Q8051845,Yellow Tail,,drink brand | trademark | alcoholic beverage | alcohol brand,,Australia
Q8051987,Yellowstone Bourbon,,food and beverage | liquid | drink,Heaven Hill,Kentucky
Q8058584,Younger's,,juridical person | organization | business,,
Q8071237,Zhumir,,,,
Q8071505,Ziegenbock,,low fermentation beer | lager,Anheuser-Busch,
Q8565190,Fox Barrel Cider,,juridical person | organization | business,,
Q9180136,Browar Jędrzejów,,food manufacturer | factory | brewery,,
Q9180145,Browar Koszalin,,food manufacturer | factory | brewery,,
Q9180157,Browar Lwówek Śląski,,food manufacturer | factory | brewery,,
Q9397571,Żubr,,alcohol brand | beer brand,Kompania Piwowarska,Poland
Q9643192,Baden Baden,,factory | brewery | food manufacturer,,
Q85782300,Louis M. Martini Winery,,viticulture plant | estate | winery,,
Q85816873,Young Henrys,,legal person | organization | company,,
Q96373422,Bentspoke Brewing Co,,juridical person | organization | business,,
Q96374129,Burger Brewing Company,,food manufacturer | factory | brewery,,
Q96375045,Cider in Ireland,,aspect | aspect in a geographic region,,
Q96384447,Jiangxiaobai,,baijiu | Kaoliang wine | artificial object | brand,,Chongqing
Q9180229,Upper Silesia Brewery,Browary Górnośląskie | Oberschlesische Bierbrauerei Aktien Gesellschaft vormals L. Haendler,food manufacturer | factory | brewery,,
Q812294,Bavarian State Brewery Weihenstephan,Weihenstephaner,food manufacturer | factory | brewery,,
Q831339,Deutz,Deutz & Geldermann,juridical person | organization | business,,
Q844073,Yuengling,D. G. Yuengling & Son | Eagle Brewery | Yuengling Brewery,food manufacturer | factory | brewery,,
Q854383,Heineken,Heineken Lager Beer | Heineken Pilsener,alcohol brand | beer brand | pale lager | pilsner,Heineken International,Netherlands
Q861566,San Miguel beer,San Miguel Pale Pilsen,juridical person | organization | business,Group Mahou San Miguel,
Q861973,Forst,Spezialbier-Brauerei Forst,food manufacturer | factory | brewery,,
Q864987,Corona,Corona beer | Corona Extra | Corona. Extra,alcohol brand | beer brand,Grupo Modelo,Mexico
Q865859,Peroni Brewery,Peroni,business | enterprise | juridical person | organization | food manufacturer | factory | brewery,,
Q96418536,Hatuey,,artificial object | brand,,
Q97361531,Deutsches Reichsbräu,,food and beverage | liquid | drink,,
