id,keyword,keyword_variants,optional,category,country,maker,extra,sources,aka
Pyrat Rum,pyrat-rum,pyrat-rum,guyana,rum,Guyana,,,rum_brands,
Royal Rum,royal-rum,royal-rum,guyana,rum,Guyana,,,rum_brands,
Pirate's Grog Rum,pirates-grog-rum,pirates-grog-rum,honduras,rum,Honduras,,,rum_brands,
Ron Bacardí,ron-bacardi,ron-bacardi,rum|mexico,rum,Mexico,,,rum_brands,
Ron Huasteco Potosí,ron-huasteco-potosi,ron-huasteco-potosi,rum|mexico,rum,Mexico,,,rum_brands,
Ron La Gloria,ron-la-gloria,ron-la-gloria,rum|mexico,rum,Mexico,,,rum_brands,
Ron Macollo,ron-macollo,ron-macollo,rum|mexico,rum,Mexico,,,rum_brands,
Ron Mocambo,ron-mocambo,ron-mocambo,rum|mexico,rum,Mexico,,,rum_brands,
Ron MK,ron-mk,ron-mk,rum|mexico,rum,Mexico,,,rum_brands,
Ron Prohibido,ron-prohibido,ron-prohibido,rum|mexico,rum,Mexico,,,rum_brands,
Alambique Serrano,alambique-serrano,alambique-serrano,rum|mexico,rum,Mexico,,,rum_brands,
Flor de Caña,flor-de-cana,flor-de-cana,rum|liqueur|nicaragua,rum|liqueur,Nicaragua,,,alkohole_wikidata|rum_brands|twe_brands,Flor de Cana
Ron Mombacho,ron-mombacho,ron-mombacho,rum|nicaragua,rum,Nicaragua,,,rum_brands,
Ron Zapatera,ron-zapatera,ron-zapatera,rum|nicaragua,rum,Nicaragua,,,rum_brands,
Piquero - Premium rum spirit drink,piquero,piquero,rum|panama,rum,Panama,,,rum_brands,
ARÔME Rum,arome-rum,arome-rum,panama,rum,Panama,,,rum_brands,
1914 Edicion Gatun Rum,1914-edicion-gatun-rum,1914-edicion-gatun-rum,panama,rum,Panama,,,rum_brands,
Cabeza de Vaca Rum,cabeza-de-vaca-rum,cabeza-de-vaca-rum,panama,rum,Panama,,,rum_brands,
El Puro Rum,el-puro-rum,el-puro-rum,panama,rum,Panama,,,rum_brands,
Don Esteban Rum,don-esteban-rum,don-esteban-rum,panama,rum,Panama,,,rum_brands,
La Marelita Rum,la-marelita-rum,la-marelita-rum,panama,rum,Panama,,,rum_brands,
Isla de Cañas by Don Pancho Rum,isla-de-canas,isla-de-canas,rum|panama,rum,Panama,,,rum_brands,
Comandante Overproof Rum,comandante-overproof-rum,comandante-overproof-rum,panama,rum,Panama,,,rum_brands,
Portobelo Rum,portobelo-rum,portobelo-rum,panama,rum,Panama,,,rum_brands,
Woldorff Private Cask Rum,woldorff-private-cask-rum,woldorff-private-cask-rum,panama,rum,Panama,,,rum_brands,
La Cruz Vintage 1981 Rum,la-cruz-vintage-1981-rum,la-cruz-vintage-1981-rum,panama,rum,Panama,,,rum_brands,
Isla de Coiba Rum,isla-de-coiba-rum,isla-de-coiba-rum,panama,rum,Panama,,,rum_brands,
Yolo Rum,yolo-rum,yolo-rum,panama,rum,Panama,,,rum_brands,
Contadora Rum,contadora-rum,contadora-rum,panama,rum,Panama,,,rum_brands,
Canalero Rum,canalero-rum,canalero-rum,panama,rum,Panama,,,rum_brands,
Casa Barú Rum,casa-baru-rum,casa-baru-rum,panama,rum,Panama,,,rum_brands,
Ron Durán,ron-duran,ron-duran,rum|panama,rum,Panama,,,rum_brands,
Calicos Crew Rum,calicos-crew-rum,calicos-crew-rum,panama,rum,Panama,,,rum_brands,
Carta Vieja Rum,carta-vieja-rum,carta-vieja-rum,panama,rum,Panama,,,rum_brands,
Pacifico Rum,pacifico-rum,pacifico-rum,panama,rum,Panama,,,rum_brands,
Pedro Mandinga Rum,pedro-mandinga-rum,pedro-mandinga-rum,panama,rum,Panama,,,rum_brands,
Bohemio Rum,bohemio-rum,bohemio-rum,panama,rum,Panama,,,rum_brands,
Malecon Rum,malecon-rum,malecon-rum,panama,rum,Panama,,,rum_brands,
Ron El Galante,ron-el-galante,ron-el-galante,rum|panama,rum,Panama,,,rum_brands,
Ron Castelauro,ron-castelauro,ron-castelauro,rum|panama,rum,Panama,,,rum_brands,
Ron de Jeremy Rum,ron-de-jeremy-rum,ron-de-jeremy-rum,panama,rum,Panama,,,rum_brands,
Compañero Rum,companero-rum,companero-rum,panama,rum,Panama,,,rum_brands,
Santa Rosa Rum,santa-rosa-rum,santa-rosa-rum,panama,rum,Panama,,,rum_brands,
Panama Red Rum,panama-red-rum,panama-red-rum,,rum,Panama,,,rum_brands,
Panama Pacific Rum,panama-pacific-rum,panama-pacific-rum,,rum,Panama,,,rum_brands,
Cortez Rum,cortez-rum,cortez-rum,panama,rum,Panama,,,rum_brands,
Naud Rum,naud-rum,naud-rum,panama,rum,Panama,,,rum_brands,
Isla del Ron Panama Rum,isla-del-ron-panama-rum,isla-del-ron-panama-rum,,rum,Panama,,,rum_brands,
Zahara Rum,zahara-rum,zahara-rum,panama,rum,Panama,,,rum_brands,
Ron Panama Rum,ron-panama-rum,ron-panama-rum,,rum,Panama,,,rum_brands,
Nativo Rum,nativo-rum,nativo-rum,panama,rum,Panama,,,rum_brands,
